ID,Group,Feature_1,Feature_2,Feature_3
ID001,B,2480.800453717991,390.11051444724325,4971.480447368246
ID002,A,2385.781666485422,396.4576814821416,5190.18801227133
ID003,A,2598.475912476284,387.94092434909254,5849.328897193067
ID004,A,2303.009156912163,411.9677773821745,4835.592505036238
ID005,C,2718.8228703784703,379.7794862268246,-2330.7128516363027
ID006,A,2465.287290819251,401.4884443507161,5371.037279399768
ID007,A,2536.8292258084252,401.9876214526327,5584.8834209111155
ID008,A,2583.7837229922357,372.8380063252048,5874.408734044349
ID009,B,2588.6032067266287,393.38464269214586,5172.221007656793
ID010,A,2288.6523550072397,403.8354930707221,4830.7436169975235
ID011,C,2623.6129870816394,406.43091989941104,-2240.447666094807
ID012,C,2545.473074256441,396.93539187099753,-2162.163012717489
ID013,A,2404.710792316209,410.15332306721075,5171.075454971445
ID014,A,2387.549957358113,398.3602561414594,5155.59006250152
ID015,A,2449.892037691473,400.20479368112586,5344.56890853334
ID016,C,2305.188747008426,403.7748080347983,-1878.053557425241
ID017,B,2758.340108648054,413.90499443101254,5516.0901277357825
ID018,B,2722.9226987715015,389.864229963767,5449.955769419758
ID019,A,2567.7550301463907,392.69767191222553,5728.424250659025
ID020,B,2466.4902375486863,389.96655262406176,4958.942173341774
ID021,C,2470.433801809391,395.017034257871,-2081.9123014211814
ID022,A,2613.7098559260953,421.3935138711965,5731.424742208886
ID023,B,2763.6740349252927,408.59087978994734,5543.152773986194
ID024,A,2414.4404890604883,383.0336538224674,5325.972387130884
ID025,A,2332.3620936065013,390.9932955161699,5042.694468630756
ID026,C,2732.1461160392905,405.591508364146,-2329.9348675246138
ID027,C,2231.9292118623325,386.40238328600844,-1848.8248171130108
ID028,B,2348.720378762103,389.1198993877787,4701.886781654143
ID029,C,2462.971316123372,420.17439499261224,-2036.1616028603828
ID030,A,2265.934979829245,390.7993655729022,4836.089130448673
ID031,C,2666.82235942099,414.3200022404408,-2261.6953226543123
ID032,B,2628.535790575765,418.82984784296406,5249.761948085239
ID033,B,2413.7810159177025,388.99806863246556,4810.746983665008
ID034,B,2691.942117876662,386.6505616516429,5364.7990726510925
ID035,C,2717.393864260574,395.85801870278254,-2317.969839791093
ID036,C,2483.0244027564904,383.67058418989564,-2088.0906689284934
ID037,C,2432.399773364799,401.8155081775411,-2020.131721669515
ID038,C,2838.940304161372,396.9152213221992,-2470.6089781168125
ID039,C,2608.1742733126234,405.4087002382945,-2205.706354118848
ID040,B,2538.448697945328,420.9541518434923,5063.6722924235455
ID041,B,2704.531891995942,412.26227471155477,5410.788633245734
ID042,C,2545.289595250453,407.33859663118534,-2142.9648808449806
ID043,A,2424.1569121121215,370.50927380548126,5427.027310183894
ID044,B,2512.023964073133,406.65063973153565,5023.81809106145
ID045,A,2655.7981430979603,425.8394149105682,5815.445332002025
ID046,A,2201.172165047618,354.84216225529724,4817.700653392773
ID047,B,2456.795389084117,410.3407381446344,4913.660199546153
ID048,A,2707.4586097872407,397.60962137865306,6135.4090476192305
ID049,A,2423.219739835972,387.25307495465586,5316.525723042189
ID050,B,2731.9162840647114,412.0169287586793,5445.395051686869
ID051,B,2712.211572903972,425.64558850911,5425.098089858822
ID052,C,2490.170632676657,411.6284609325663,-2095.3861794166974
ID053,B,2414.71910426665,394.4321207310771,4809.41465541529
